profile,cluster_state,message_a,message_b,single_qubit,two_qubit,readout,shots,seed,valid_bell_support_rate,alice_local_decode_rate,bob_local_decode_rate,bidirectional_decode_rate,bidirectional_wilson_low,bidirectional_wilson_high,metric_scope
medium,phi1,01,10,0.001,0.01,0.02,8192,2026090502,0.7100830078125,0.7100830078125,0.7100830078125,0.7100830078125,0.7001610790400459,0.719808001291002,single six-qubit block gate/readout simulation
medium,phi1,01,11,0.001,0.01,0.02,8192,2026090502,0.7052001953125,0.7052001953125,0.7052001953125,0.7052001953125,0.6952323210736574,0.7149757114867675,single six-qubit block gate/readout simulation
medium,phi1,10,00,0.001,0.01,0.02,8192,2026090502,0.7135009765625,0.7135009765625,0.7135009765625,0.7135009765625,0.7036120299232691,0.7231897838472148,single six-qubit block gate/readout simulation
medium,phi1,10,01,0.001,0.01,0.02,8192,2026090502,0.7205810546875,0.7205810546875,0.7205810546875,0.7205810546875,0.7107626117117783,0.7301927213261085,single six-qubit block gate/readout simulation
medium,phi1,10,10,0.001,0.01,0.02,8192,2026090502,0.7235107421875,0.7235107421875,0.7235107421875,0.7235107421875,0.7137223470938904,0.7330896146063702,single six-qubit block gate/readout simulation
medium,phi1,10,11,0.001,0.01,0.02,8192,2026090502,0.722900390625,0.722900390625,0.722900390625,0.722900390625,0.7131056929340107,0.7324861377949221,single six-qubit block gate/readout simulation
medium,phi1,11,00,0.001,0.01,0.02,8192,2026090502,0.72216796875,0.72216796875,0.72216796875,0.72216796875,0.712365737605224,0.7317619359581152,single six-qubit block gate/readout simulation
medium,phi1,11,01,0.001,0.01,0.02,8192,2026090502,0.719482421875,0.719482421875,0.719482421875,0.719482421875,0.7096528436921445,0.7291062535973523,single six-qubit block gate/readout simulation
medium,phi1,11,10,0.001,0.01,0.02,8192,2026090502,0.7161865234375,0.7161865234375,0.7161865234375,0.7161865234375,0.7063239706283747,0.7258464194159516,single six-qubit block gate/readout simulation
medium,phi1,11,11,0.001,0.01,0.02,8192,2026090502,0.718994140625,0.718994140625,0.718994140625,0.718994140625,0.7091596365886048,0.7286233559238298,single six-qubit block gate/readout simulation
medium,phi2,00,00,0.001,0.01,0.02,8192,2026090502,0.7193603515625,0.7193603515625,0.7193603515625,0.7193603515625,0.7095295405837572,0.7289855305114741,single six-qubit block gate/readout simulation
medium,phi2,00,01,0.001,0.01,0.02,8192,2026090502,0.722900390625,0.722900390625,0.722900390625,0.722900390625,0.7131056929340107,0.7324861377949221,single six-qubit block gate/readout simulation
medium,phi2,00,10,0.001,0.01,0.02,8192,2026090502,0.72265625,0.72265625,0.72265625,0.72265625,0.7128590375656391,0.7322447407747626,single six-qubit block gate/readout simulation
medium,phi2,00,11,0.001,0.01,0.02,8192,2026090502,0.7193603515625,0.7193603515625,0.7193603515625,0.7193603515625,0.7095295405837572,0.7289855305114741,single six-qubit block gate/readout simulation
medium,phi2,01,00,0.001,0.01,0.02,8192,2026090502,0.716796875,0.716796875,0.716796875,0.716796875,0.706940380026629,0.7264501409890252,single six-qubit block gate/readout simulation
medium,phi2,01,01,0.001,0.01,0.02,8192,2026090502,0.716796875,0.716796875,0.716796875,0.716796875,0.706940380026629,0.7264501409890252,single six-qubit block gate/readout simulation
medium,phi2,01,10,0.001,0.01,0.02,8192,2026090502,0.718994140625,0.718994140625,0.718994140625,0.718994140625,0.7091596365886048,0.7286233559238298,single six-qubit block gate/readout simulation
medium,phi2,01,11,0.001,0.01,0.02,8192,2026090502,0.7127685546875,0.7127685546875,0.7127685546875,0.7127685546875,0.7028724831372936,0.7224651734675968,single six-qubit block gate/readout simulation
medium,phi2,10,00,0.001,0.01,0.02,8192,2026090502,0.71142578125,0.71142578125,0.71142578125,0.71142578125,0.7015167286661337,0.7211366398018353,single six-qubit block gate/readout simulation
medium,phi2,10,01,0.001,0.01,0.02,8192,2026090502,0.7139892578125,0.7139892578125,0.7139892578125,0.7139892578125,0.7041050785513682,0.7236728399961779,single six-qubit block gate/readout simulation
medium,phi2,10,10,0.001,0.01,0.02,8192,2026090502,0.716064453125,0.716064453125,0.716064453125,0.716064453125,0.7062006913886748,0.725725672461386,single six-qubit block gate/readout simulation
medium,phi2,10,11,0.001,0.01,0.02,8192,2026090502,0.71044921875,0.71044921875,0.71044921875,0.71044921875,0.7005307912922463,0.7201703676215983,single six-qubit block gate/readout simulation
medium,phi2,11,00,0.001,0.01,0.02,8192,2026090502,0.7174072265625,0.7174072265625,0.7174072265625,0.7174072265625,0.7075568114559926,0.7270538405309895,single six-qubit block gate/readout simulation
medium,phi2,11,01,0.001,0.01,0.02,8192,2026090502,0.71240234375,0.71240234375,0.71240234375,0.71240234375,0.7025027214951463,0.7221028565269474,single six-qubit block gate/readout simulation
medium,phi2,11,10,0.001,0.01,0.02,8192,2026090502,0.7139892578125,0.7139892578125,0.7139892578125,0.7139892578125,0.7041050785513682,0.7236728399961779,single six-qubit block gate/readout simulation
medium,phi2,11,11,0.001,0.01,0.02,8192,2026090502,0.709716796875,0.709716796875,0.709716796875,0.709716796875,0.6997913745540862,0.7194456271941649,single six-qubit block gate/readout simulation
high,phi1,00,00,0.005,0.03,0.05,8192,2026090503,0.38818359375,0.38818359375,0.38818359375,0.38818359375,0.3776851925432917,0.3987868135094452,single six-qubit block gate/readout simulation
high,phi1,00,01,0.005,0.03,0.05,8192,2026090503,0.39208984375,0.39208984375,0.39208984375,0.39208984375,0.3815705730892778,0.4027102711799574,single six-qubit block gate/readout simulation
high,phi1,00,10,0.005,0.03,0.05,8192,2026090503,0.38916015625,0.38916015625,0.38916015625,0.38916015625,0.3786564709702355,0.39976774463662595,single six-qubit block gate/readout simulation
high,phi1,00,11,0.005,0.03,0.05,8192,2026090503,0.3934326171875,0.3934326171875,0.3934326171875,0.3934326171875,0.38290633667194757,0.40405879573420894,single six-qubit block gate/readout simulation
high,phi1,01,00,0.005,0.03,0.05,8192,2026090503,0.3857421875,0.3857421875,0.3857421875,0.3857421875,0.3752571916239905,0.39633429054343494,single six-qubit block gate/readout simulation
high,phi1,01,01,0.005,0.03,0.05,8192,2026090503,0.3961181640625,0.3961181640625,0.3961181640625,0.3961181640625,0.38557811468981434,0.40675559399018474,single six-qubit block gate/readout simulation
high,phi1,01,10,0.005,0.03,0.05,8192,2026090503,0.4024658203125,0.4024658203125,0.4024658203125,0.4024658203125,0.391894549978269,0.4131285208035397,single six-qubit block gate/readout simulation
high,phi1,01,11,0.005,0.03,0.05,8192,2026090503,0.38427734375,0.38427734375,0.38427734375,0.38427734375,0.3738005252001717,0.39486264263606696,single six-qubit block gate/readout simulation
high,phi1,10,00,0.005,0.03,0.05,8192,2026090503,0.382080078125,0.382080078125,0.382080078125,0.382080078125,0.3716157147409167,0.3926549815985416,single six-qubit block gate/readout simulation
high,phi1,10,01,0.005,0.03,0.05,8192,2026090503,0.3924560546875,0.3924560546875,0.3924560546875,0.3924560546875,0.3819348639419938,0.4030780589100382,single six-qubit block gate/readout simulation
high,phi1,10,10,0.005,0.03,0.05,8192,2026090503,0.385009765625,0.385009765625,0.385009765625,0.385009765625,0.37452884581837215,0.39559847918346,single six-qubit block gate/readout simulation
high,phi1,10,11,0.005,0.03,0.05,8192,2026090503,0.3883056640625,0.3883056640625,0.3883056640625,0.3883056640625,0.3778065999102607,0.39890943233674175,single six-qubit block gate/readout simulation
high,phi1,11,00,0.005,0.03,0.05,8192,2026090503,0.37353515625,0.37353515625,0.37353515625,0.37353515625,0.3631214009230819,0.38406746181778645,single six-qubit block gate/readout simulation
high,phi1,11,01,0.005,0.03,0.05,8192,2026090503,0.387939453125,0.387939453125,0.387939453125,0.387939453125,0.37744237989889295,0.39854157376531285,single six-qubit block gate/readout simulation
high,phi1,11,10,0.005,0.03,0.05,8192,2026090503,0.3936767578125,0.3936767578125,0.3936767578125,0.3936767578125,0.3831492117713371,0.4043039730233505,single six-qubit block gate/readout simulation
high,phi1,11,11,0.005,0.03,0.05,8192,2026090503,0.3916015625,0.3916015625,0.3916015625,0.3916015625,0.38108486165089,0.40221987784128294,single six-qubit block gate/readout simulation
high,phi2,00,00,0.005,0.03,0.05,8192,2026090503,0.3955078125,0.3955078125,0.3955078125,0.3955078125,0.3849708630876291,0.40614271462104207,single six-qubit block gate/readout simulation
high,phi2,00,01,0.005,0.03,0.05,8192,2026090503,0.3934326171875,0.3934326171875,0.3934326171875,0.3934326171875,0.38290633667194757,0.40405879573420894,single six-qubit block gate/readout simulation
high,phi2,00,10,0.005,0.03,0.05,8192,2026090503,0.3907470703125,0.3907470703125,0.3907470703125,0.3907470703125,0.38023489332548155,0.4013616628068324,single six-qubit block gate/readout simulation
high,phi2,00,11,0.005,0.03,0.05,8192,2026090503,0.397705078125,0.397705078125,0.397705078125,0.397705078125,0.38715704943633217,0.40834899976911926,single six-qubit block gate/readout simulation
high,phi2,01,00,0.005,0.03,0.05,8192,2026090503,0.39697265625,0.39697265625,0.39697265625,0.39697265625,0.38642829586847816,0.4076135961713798,single six-qubit block gate/readout simulation
high,phi2,01,01,0.005,0.03,0.05,8192,2026090503,0.3858642578125,0.3858642578125,0.3858642578125,0.3858642578125,0.3753785850384885,0.39645692332320254,single six-qubit block gate/readout simulation
high,phi2,01,10,0.005,0.03,0.05,8192,2026090503,0.3890380859375,0.3890380859375,0.3890380859375,0.3890380859375,0.37853505873130416,0.39964513068129176,single six-qubit block gate/readout simulation
high,phi2,01,11,0.005,0.03,0.05,8192,2026090503,0.387451171875,0.387451171875,0.387451171875,0.387451171875,0.37695676297162134,0.39805108591552213,single six-qubit block gate/readout simulation
high,phi2,10,00,0.005,0.03,0.05,8192,2026090503,0.3924560546875,0.3924560546875,0.3924560546875,0.3924560546875,0.3819348639419938,0.4030780589100382,single six-qubit block gate/readout simulation
high,phi2,10,01,0.005,0.03,0.05,8192,2026090503,0.396484375,0.396484375,0.396484375,0.396484375,0.38594247392019027,0.4071233133426055,single six-qubit block gate/readout simulation
high,phi2,10,10,0.005,0.03,0.05,8192,2026090503,0.3858642578125,0.3858642578125,0.3858642578125,0.3858642578125,0.3753785850384885,0.39645692332320254,single six-qubit block gate/readout simulation
high,phi2,10,11,0.005,0.03,0.05,8192,2026090503,0.390380859375,0.390380859375,0.390380859375,0.390380859375,0.3798706315935294,0.40099384595598775,single six-qubit block gate/readout simulation
high,phi2,11,00,0.005,0.03,0.05,8192,2026090503,0.392578125,0.392578125,0.392578125,0.392578125,0.3820562956111304,0.4032006534351671,single six-qubit block gate/readout simulation
high,phi2,11,01,0.005,0.03,0.05,8192,2026090503,0.3853759765625,0.3853759765625,0.3853759765625,0.3853759765625,0.3748930155744314,0.3959663880101974,single six-qubit block gate/readout simulation
high,phi2,11,10,0.005,0.03,0.05,8192,2026090503,0.3848876953125,0.3848876953125,0.3848876953125,0.3848876953125,0.37440745729882,0.39547584150874643,single six-qubit block gate/readout simulation
high,phi2,11,11,0.005,0.03,0.05,8192,2026090503,0.3818359375,0.3818359375,0.3818359375,0.3818359375,0.3713729720632793,0.3924096718876479,single six-qubit block gate/readout simulation
