mode,n_blocks,ell,lambda_bits,r,layer,records,record_count,dependency
RELEASE,4,155,8,1,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
RELEASE,4,155,8,1,5,COMMIT_SET_A|COMMIT_SET_B,2,both dialogue records available; commitments independent
RELEASE,4,155,8,1,6,OPEN_leader_1,1,previous block complete and local release guard
RELEASE,4,155,8,1,7,OPEN_follower_1,1,verified leader OPEN 1
RELEASE,4,155,8,1,8,CONFIRM_A|CONFIRM_B,2,each party S=V=2n and local full recovery
BASIC,8,4,,0,1,QRECV_ACK,1,quantum delivery/length check
BASIC,8,4,,0,2,DECOY_INFO,1,verified QRECV_ACK
BASIC,8,4,,0,3,DIALOGUE_B_QPASS,1,Bob local detection pass
BASIC,8,4,,0,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
BASIC,8,4,,0,5,CONFIRM_A|CONFIRM_B,2,each party local full recovery; confirmations independent
RELEASE,8,4,1,16,1,QRECV_ACK,1,quantum delivery/length check
RELEASE,8,4,1,16,2,DECOY_INFO,1,verified QRECV_ACK
RELEASE,8,4,1,16,3,DIALOGUE_B_QPASS,1,Bob local detection pass
RELEASE,8,4,1,16,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
RELEASE,8,4,1,16,5,COMMIT_SET_A|COMMIT_SET_B,2,both dialogue records available; commitments independent
RELEASE,8,4,1,16,6,OPEN_leader_1,1,previous block complete and local release guard
RELEASE,8,4,1,16,7,OPEN_follower_1,1,verified leader OPEN 1
RELEASE,8,4,1,16,8,OPEN_leader_2,1,previous block complete and local release guard
RELEASE,8,4,1,16,9,OPEN_follower_2,1,verified leader OPEN 2
RELEASE,8,4,1,16,10,OPEN_leader_3,1,previous block complete and local release guard
RELEASE,8,4,1,16,11,OPEN_follower_3,1,verified leader OPEN 3
RELEASE,8,4,1,16,12,OPEN_leader_4,1,previous block complete and local release guard
RELEASE,8,4,1,16,13,OPEN_follower_4,1,verified leader OPEN 4
RELEASE,8,4,1,16,14,OPEN_leader_5,1,previous block complete and local release guard
RELEASE,8,4,1,16,15,OPEN_follower_5,1,verified leader OPEN 5
RELEASE,8,4,1,16,16,OPEN_leader_6,1,previous block complete and local release guard
RELEASE,8,4,1,16,17,OPEN_follower_6,1,verified leader OPEN 6
RELEASE,8,4,1,16,18,OPEN_leader_7,1,previous block complete and local release guard
RELEASE,8,4,1,16,19,OPEN_follower_7,1,verified leader OPEN 7
RELEASE,8,4,1,16,20,OPEN_leader_8,1,previous block complete and local release guard
RELEASE,8,4,1,16,21,OPEN_follower_8,1,verified leader OPEN 8
RELEASE,8,4,1,16,22,OPEN_leader_9,1,previous block complete and local release guard
RELEASE,8,4,1,16,23,OPEN_follower_9,1,verified leader OPEN 9
RELEASE,8,4,1,16,24,OPEN_leader_10,1,previous block complete and local release guard
RELEASE,8,4,1,16,25,OPEN_follower_10,1,verified leader OPEN 10
RELEASE,8,4,1,16,26,OPEN_leader_11,1,previous block complete and local release guard
RELEASE,8,4,1,16,27,OPEN_follower_11,1,verified leader OPEN 11
RELEASE,8,4,1,16,28,OPEN_leader_12,1,previous block complete and local release guard
RELEASE,8,4,1,16,29,OPEN_follower_12,1,verified leader OPEN 12
RELEASE,8,4,1,16,30,OPEN_leader_13,1,previous block complete and local release guard
RELEASE,8,4,1,16,31,OPEN_follower_13,1,verified leader OPEN 13
RELEASE,8,4,1,16,32,OPEN_leader_14,1,previous block complete and local release guard
RELEASE,8,4,1,16,33,OPEN_follower_14,1,verified leader OPEN 14
RELEASE,8,4,1,16,34,OPEN_leader_15,1,previous block complete and local release guard
RELEASE,8,4,1,16,35,OPEN_follower_15,1,verified leader OPEN 15
RELEASE,8,4,1,16,36,OPEN_leader_16,1,previous block complete and local release guard
RELEASE,8,4,1,16,37,OPEN_follower_16,1,verified leader OPEN 16
RELEASE,8,4,1,16,38,CONFIRM_A|CONFIRM_B,2,each party S=V=2n and local full recovery
RELEASE,8,4,2,8,1,QRECV_ACK,1,quantum delivery/length check
RELEASE,8,4,2,8,2,DECOY_INFO,1,verified QRECV_ACK
RELEASE,8,4,2,8,3,DIALOGUE_B_QPASS,1,Bob local detection pass
RELEASE,8,4,2,8,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
RELEASE,8,4,2,8,5,COMMIT_SET_A|COMMIT_SET_B,2,both dialogue records available; commitments independent
RELEASE,8,4,2,8,6,OPEN_leader_1,1,previous block complete and local release guard
RELEASE,8,4,2,8,7,OPEN_follower_1,1,verified leader OPEN 1
RELEASE,8,4,2,8,8,OPEN_leader_2,1,previous block complete and local release guard
RELEASE,8,4,2,8,9,OPEN_follower_2,1,verified leader OPEN 2
RELEASE,8,4,2,8,10,OPEN_leader_3,1,previous block complete and local release guard
