tag_bits,seed,trials,successes,observed_probability,wilson_95_low,wilson_95_high,sampling_method,constant_time_reference_comparison,monte_carlo,analytic_single_attempt_upper_bound
16,2026083025,1000000,17,1.7e-05,1.0614492680504599e-05,2.722682077434217e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083026,1000000,15,1.5e-05,9.09061023353234e-06,2.4750718587090688e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083027,1000000,18,1.8e-05,1.1386389236926e-05,2.8454916535032645e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083028,1000000,17,1.7e-05,1.0614492680504599e-05,2.722682077434217e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083029,1000000,13,1.3e-05,7.5976191153199e-06,2.224372507107938e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
16,2026083030,1000000,12,1.2e-05,6.8647726157685394e-06,2.097657925351887e-05,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083001,1000000,3,3e-06,1.0202712409681223e-06,8.821149774312436e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083002,1000000,1,1e-06,1.7652457674537176e-07,5.664911804311444e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083003,1000000,0,0.0,4.235164736271502e-22,3.841444063944942e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083004,1000000,3,3e-06,1.0202712409681223e-06,8.821149774312436e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083005,1000000,0,0.0,4.235164736271502e-22,3.841444063944942e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083006,1000000,0,0.0,4.235164736271502e-22,3.841444063944942e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083007,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083008,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083009,1000000,0,0.0,4.235164736271502e-22,3.841444063944942e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083010,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083011,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083012,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083013,1000000,0,0.0,4.235164736271502e-22,3.841444063944942e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083014,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083015,1000000,0,0.0,4.235164736271502e-22,3.841444063944942e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083016,1000000,1,1e-06,1.7652457674537176e-07,5.664911804311444e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083017,1000000,1,1e-06,1.7652457674537176e-07,5.664911804311444e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083018,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083019,1000000,0,0.0,4.235164736271502e-22,3.841444063944942e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083020,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083021,1000000,3,3e-06,1.0202712409681223e-06,8.821149774312436e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083022,1000000,1,1e-06,1.7652457674537176e-07,5.664911804311444e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083023,1000000,0,0.0,4.235164736271502e-22,3.841444063944942e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083024,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083025,1000000,0,0.0,4.235164736271502e-22,3.841444063944942e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083026,1000000,1,1e-06,1.7652457674537176e-07,5.664911804311444e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083027,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083028,1000000,0,0.0,4.235164736271502e-22,3.841444063944942e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083029,1000000,2,2e-06,5.48472309596056e-07,7.29295638857263e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
20,2026083030,1000000,1,1e-06,1.7652457674537176e-07,5.664911804311444e-06,independent_uniform_tag_bytes_truncated_and_compared,True,True,
128,,0,,,,,analytic_upper_bound_only,True,False,2.938735877055719e-39
