angle_source,theta,unitarity_error,bb84_evolution_error,qber_density,trace_distance_nuclear_norm,helstrom_guess,qber_qiskit,trace_distance_qiskit,helstrom_qiskit,qber_analytic,trace_distance_analytic,helstrom_analytic,maximum_component_error,scope
grid,0.8325220532012952,1.1102230246251565e-16,0.0,0.08174687162255678,0.7396310949786098,0.8698155474893049,0.08174687162255681,0.7396310949786098,0.8698155474893049,0.08174687162255667,0.7396310949786097,0.8698155474893048,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,0.8482300164692442,2.6347568780034073e-17,0.0,0.08467203366908721,0.7501110696304596,0.8750555348152298,0.08467203366908721,0.7501110696304596,0.8750555348152298,0.08467203366908704,0.7501110696304596,0.8750555348152298,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.8639379797371932,1.823272035692234e-17,0.0,0.08763798791745425,0.760405965600031,0.8802029828000155,0.08763798791745425,0.760405965600031,0.8802029828000155,0.08763798791745411,0.760405965600031,0.8802029828000155,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,0.8796459430051422,1.1102230246251565e-16,0.0,0.09064400256282776,0.7705132427757893,0.8852566213878946,0.09064400256282776,0.7705132427757893,0.8852566213878946,0.09064400256282759,0.7705132427757893,0.8852566213878946,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.8953539062730911,2.5346502765047252e-17,0.0,0.09368933591607387,0.7804304073383297,0.8902152036691648,0.09368933591607387,0.7804304073383297,0.8902152036691648,0.0936893359160737,0.7804304073383297,0.8902152036691648,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.9110618695410401,1.0466777187055786e-17,0.0,0.09677323658675596,0.7901550123756904,0.8950775061878452,0.09677323658675596,0.7901550123756904,0.8950775061878452,0.09677323658675588,0.7901550123756904,0.8950775061878452,8.326672684688674e-17,specified_U_theta_probe_family_only
grid,0.9267698328089891,2.815015699409514e-18,0.0,0.09989494366852919,0.7996846584870906,0.8998423292435453,0.09989494366852919,0.7996846584870906,0.8998423292435453,0.099894943668529,0.7996846584870906,0.8998423292435453,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,0.942477796076938,1.1102230246251565e-16,0.0,0.10305368692688191,0.8090169943749475,0.9045084971874737,0.10305368692688191,0.8090169943749475,0.9045084971874737,0.10305368692688174,0.8090169943749475,0.9045084971874737,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.958185759344887,2.4080916382266628e-17,0.0,0.1062486869891805,0.8181497174250234,0.9090748587125117,0.1062486869891805,0.8181497174250234,0.9090748587125117,0.10624868698918039,0.8181497174250235,0.9090748587125117,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,0.9738937226128359,1.760899149901875e-17,0.0,0.10947915553696747,0.8270805742745618,0.9135402871372809,0.10947915553696747,0.8270805742745618,0.9135402871372809,0.10947915553696735,0.8270805742745618,0.9135402871372809,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,0.9896016858807849,1.546990834065634e-17,0.0,0.11274429550046722,0.8358073613682702,0.9179036806841351,0.11274429550046722,0.8358073613682702,0.9179036806841351,0.11274429550046708,0.8358073613682703,0.9179036806841352,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,1.0053096491487339,1.1102230246251565e-16,0.0,0.11604330125525103,0.8443279255020151,0.9221639627510075,0.11604330125525106,0.8443279255020151,0.9221639627510075,0.11604330125525086,0.8443279255020151,0.9221639627510075,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,1.0210176124166828,2.528724137630567e-18,0.0,0.11937535882101291,0.8526401643540922,0.9263200821770461,0.11937535882101291,0.8526401643540922,0.9263200821770461,0.11937535882101277,0.8526401643540922,0.9263200821770461,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,1.0367255756846319,1.1102230246251565e-16,0.0,0.12273964606240742,0.8607420270039436,0.9303710135019718,0.12273964606240736,0.8607420270039436,0.9303710135019718,0.1227396460624072,0.8607420270039436,0.9303710135019718,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,1.0524335389525807,2.220446049250313e-16,0.0,0.12613533289189816,0.8686315144381913,0.9343157572190957,0.12613533289189816,0.8686315144381913,0.9343157572190957,0.1261353328918981,0.8686315144381913,0.9343157572190957,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,1.0681415022205298,5.529238881260824e-18,0.0,0.1295615814745713,0.8763066800438637,0.9381533400219318,0.1295615814745713,0.8763066800438637,0.9381533400219318,0.1295615814745712,0.8763066800438637,0.9381533400219318,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.0838494654884787,1.6200668892973656e-17,0.0,0.1330175464348568,0.8837656300886936,0.9418828150443468,0.1330175464348568,0.8837656300886936,0.9418828150443468,0.13301754643485666,0.8837656300886935,0.9418828150443468,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,1.0995574287564276,1.1102230246251565e-16,0.0,0.13650237506511345,0.8910065241883678,0.9455032620941839,0.13650237506511345,0.8910065241883678,0.9455032620941839,0.1365023750651133,0.8910065241883678,0.9455032620941839,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,1.1152653920243767,1.5583514465647558e-17,0.0,0.1400152075360213,0.8980275757606156,0.9490137878803078,0.14001520753602137,0.8980275757606156,0.9490137878803078,0.14001520753602123,0.8980275757606156,0.9490137878803078,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,1.1309733552923256,2.220446049250313e-16,0.0,0.14355517710873184,0.9048270524660197,0.9524135262330098,0.1435551771087319,0.9048270524660197,0.9524135262330098,0.14355517710873184,0.9048270524660196,0.9524135262330098,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,1.1466813185602747,5.6126644963764265e-18,0.0,0.14712141034872295,0.9114032766354452,0.9557016383177226,0.14712141034872295,0.9114032766354452,0.9557016383177226,0.14712141034872284,0.9114032766354453,0.9557016383177226,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.1623892818282235,4.4512699078774055e-18,0.0,0.15071302734130498,0.9177546256839811,0.9588773128419905,0.15071302734130498,0.9177546256839811,0.9588773128419905,0.15071302734130487,0.9177546256839811,0.9588773128419905,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.1780972450961724,2.5860532068485732e-17,0.0,0.15432914190872765,0.9238795325112867,0.9619397662556434,0.15432914190872765,0.9238795325112867,0.9619397662556434,0.15432914190872754,0.9238795325112867,0.9619397662556434,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.1938052083641215,1.6216796684886197e-17,0.0,0.15796886182883063,0.9297764858882515,0.9648882429441257,0.15796886182883063,0.9297764858882515,0.9648882429441257,0.15796886182883052,0.9297764858882515,0.9648882429441257,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.2095131716320704,1.1102230246251565e-16,0.0,0.1616312890551859,0.9354440308298673,0.9677220154149336,0.1616312890551859,0.9354440308298673,0.9677220154149336,0.1616312890551857,0.9354440308298673,0.9677220154149336,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,1.2252211349000195,8.597443544485906e-18,0.0,0.16531551993867727,0.9408807689542256,0.9704403844771128,0.16531551993867727,0.9408807689542256,0.9704403844771128,0.16531551993867719,0.9408807689542256,0.9704403844771128,8.326672684688674e-17,specified_U_theta_probe_family_only
grid,1.2409290981679684,1.1102230246251565e-16,0.0,0.16902064545046278,0.9460853588275453,0.9730426794137726,0.16902064545046275,0.9460853588275453,0.9730426794137726,0.16902064545046264,0.9460853588275453,0.9730426794137726,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,1.2566370614359172,1.1102230246251565e-16,0.0,0.17274575140626328,0.9510565162951535,0.9755282581475768,0.17274575140626328,0.9510565162951535,0.9755282581475768,0.17274575140626314,0.9510565162951535,0.9755282581475768,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,1.2723450247038663,1.1102230246251565e-16,0.0,0.17648991869192418,0.95579301479833,0.977896507399165,0.17648991869192418,0.95579301479833,0.977896507399165,0.17648991869192404,0.9557930147983301,0.977896507399165,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,1.2880529879718152,1.3826881531085132e-18,0.0,0.18025222349019276,0.9602936856769431,0.9801468428384715,0.18025222349019276,0.9602936856769431,0.9801468428384715,0.18025222349019268,0.9602936856769431,0.9801468428384715,8.326672684688674e-17,specified_U_theta_probe_family_only
grid,1.3037609512397643,1.1102230246251565e-16,0.0,0.18403173750865695,0.9645574184577981,0.982278709228899,0.18403173750865695,0.9645574184577981,0.982278709228899,0.1840317375086568,0.9645574184577981,0.982278709228899,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,1.3194689145077132,1.1102230246251565e-16,0.0,0.18782752820878648,0.9685831611286311,0.9842915805643155,0.18782752820878648,0.9685831611286311,0.9842915805643155,0.18782752820878632,0.9685831611286311,0.9842915805643155,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,1.3351768777756623,7.181219563158754e-18,0.0,0.19163865903602378,0.9723699203976768,0.9861849601988384,0.19163865903602378,0.9723699203976768,0.9861849601988384,0.19163865903602367,0.9723699203976767,0.9861849601988384,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.3508848410436112,1.132302956287795e-17,0.0,0.19546418965086448,0.9759167619387474,0.9879583809693737,0.19546418965086448,0.9759167619387474,0.9879583809693737,0.19546418965086437,0.9759167619387474,0.9879583809693737,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.36659280431156,1.1102230246251565e-16,0.0,0.199303176160872,0.9792228106217657,0.9896114053108829,0.19930317616087204,0.9792228106217657,0.9896114053108829,0.19930317616087187,0.9792228106217657,0.9896114053108829,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,1.3823007675795091,1.0749311941943935e-19,0.0,0.20315467135356896,0.9822872507286887,0.9911436253643444,0.20315467135356896,0.9822872507286887,0.9911436253643444,0.20315467135356888,0.9822872507286887,0.9911436253643444,8.326672684688674e-17,specified_U_theta_probe_family_only
grid,1.398008730847458,2.220446049250313e-16,0.0,0.2070177249301477,0.9851093261547741,0.992554663077387,0.2070177249301477,0.9851093261547741,0.992554663077387,0.2070177249301476,0.985109326154774,0.9925546630773869,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,1.4137166941154071,4.671669177028668e-18,0.0,0.21089138373994243,0.9876883405951378,0.9938441702975689,0.21089138373994243,0.9876883405951378,0.9938441702975689,0.21089138373994232,0.9876883405951378,0.9938441702975689,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.429424657383356,1.1102230246251565e-16,0.0,0.21477469201560453,0.9900236577165575,0.9950118288582788,0.21477469201560453,0.9900236577165575,0.9950118288582788,0.21477469201560434,0.9900236577165575,0.9950118288582788,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,1.4451326206513049,1.2911337985001153e-18,0.0,0.21866669160892405,0.9921147013144779,0.996057350657239,0.21866669160892405,0.9921147013144779,0.996057350657239,0.21866669160892394,0.9921147013144779,0.996057350657239,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.460840583919254,1.753102679363045e-18,0.0,0.22256642222723877,0.9939609554551798,0.9969804777275899,0.22256642222723882,0.9939609554551798,0.9969804777275899,0.2225664222272387,0.9939609554551797,0.9969804777275899,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.4765485471872029,6.045211239718887e-18,0.0,0.22647292167037153,0.99556196460308,0.99778098230154,0.22647292167037153,0.99556196460308,0.99778098230154,0.22647292167037142,0.99556196460308,0.99778098230154,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.492256510455152,1.8903658384879188e-18,0.0,0.2303852260680389,0.9969173337331281,0.998458666866564,0.2303852260680389,0.9969173337331281,0.998458666866564,0.2303852260680388,0.996917333733128,0.998458666866564,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.5079644737231008,5.161595822440757e-18,0.0,0.23430237011767174,0.9980267284282716,0.9990133642141358,0.23430237011767174,0.9980267284282716,0.9990133642141358,0.2343023701176717,0.9980267284282716,0.9990133642141358,5.551115123125783e-17,specified_U_theta_probe_family_only
grid,1.5236724369910497,2.9537982491480727e-18,0.0,0.2382233873225894,0.9988898749619701,0.9994449374809851,0.2382233873225894,0.9988898749619701,0.9994449374809851,0.23822338732258933,0.99888987496197,0.9994449374809851,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,1.5393804002589988,6.010157773389358e-19,0.0,0.24214731023046804,0.9995065603657316,0.9997532801828658,0.24214731023046804,0.9995065603657316,0.9997532801828658,0.24214731023046795,0.9995065603657316,0.9997532801828658,8.326672684688674e-17,specified_U_theta_probe_family_only
grid,1.5550883635269477,3.6937903143242082e-19,0.0,0.24607317067204493,0.9998766324816606,0.9999383162408303,0.24607317067204493,0.9998766324816606,0.9999383162408303,0.24607317067204484,0.9998766324816606,0.9999383162408303,8.326672684688674e-17,specified_U_theta_probe_family_only
