resource_class,benchmark_status,n_blocks,ell_per_sequence,ell_scenario,rho_bits,d_H_bits,nu_bits,h_bits,tau_bits,commitment_bits,salt_bits,theoretical_compact_decoy_bits,KE_QKD_communication_included,parameter_source,mode,lambda_bits,r,formula,paper_analytic_bits
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,768,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,8,4,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),10384
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,860,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1756
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,860,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),3564
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,860,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,64,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),102764
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,860,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,32,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),53612
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,860,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,16,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),29036
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,155,ideal_zero_background_full_random_basis_IMR,256,256,128,256,128,256,128,860,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,8,8,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),16748
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,248,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1020
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,248,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),2824
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,248,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,2,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),6668
